CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,
Democratic Republic of Congo,COD,20200319,2,1,"Schools, universities, private, and higher education institutes closed for four weeks from March 19th: https://web.archive.org/web/20200323010316/https://www.theeastafrican.co.ke/scienceandhealth/Africa-coronavirus-cases-to-rise-as-some-undetected/3073694-5498212-o7o1n3z/index.html ; http://web.archive.org/web/20200323151225/https://afrique.lalibre.be/47921/rdc-le-gouvernement-arrete-des-mesures-contre-le-coronavirus/",2,0,"In Kinshasa: Discos, bars, cafes, terraces, and restaurants clsoed until further notice; fewer numbers of itinerant traders reported as well. http://web.archive.org/web/20200323151225/https://afrique.lalibre.be/47921/rdc-le-gouvernement-arrete-des-mesures-contre-le-coronavirus/ ; http://web.archive.org/save/https://www.afrik.com/coronavirus-en-rdc-temoignage-d-un-etudiant-depuis-kinshasa",2,0,"In Kinshasa from March 19th, all gathereings, meetings, and celebrations of more than 20 people in public prohibited; sporting activitiees suspended until further notice; mourning in halls and homes banned - instead, immediate burial with limited number of people; church services halted.  http://web.archive.org/web/20200323151225/https://afrique.lalibre.be/47921/rdc-le-gouvernement-arrete-des-mesures-contre-le-coronavirus/",0,,,1,1,"French language public information campaigns on social networks, on the websites of ministries of health, toll-free numbers and othere educational campaigns in place. Includes WHO-DRC (OMS-RDC) Twitter campaign. https://web.archive.org/web/20200323153953/https:/kivupress.com/11608-la-communication-comme-principale-arme-de-lutte/",2,0,,2,,0,,0,,,,0,,3,0,67,"	"
Congo,COG,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
Colombia,COL,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,,"	"
Costa Rica,CRI,20200319,2,,,,,,2,,,0,0,,1,1,,0,0,,3,,0,"So far, several monetary and fiscal measures are under discussion but none has been implemented",0,,,,,,50,0,48,"	"
Cuba,CUB,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,"	"
Cyprus,CYP,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,,"	"
Czech Republic,CZE,20200319,2,1,,2,0,,2,1,,0,,,1,1,,2,1,,3,,0,,2,,0,,0,,434,0,81,"	"
Germany,DEU,20200319,2,1,,0,0,,2,0,,0,,,1,1,,1,1,,3,,0,,0,,0,,0,,7156,13,62,"	"
Djibouti,DJI,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
Denmark,DNK,20200319,2,1,,,,,2,1,,1,1,,,,,,,,3,,18729244650,,0,"The certificate of deposit rate was raised by 15 basis points to -0.60% from a record low of -0.75%, while all other interest rates were left unchanged, the central bank said in a statement. (sources: https://www.reuters.com/article/denmark-rates/update-1-denmarks-central-bank-raises-key-interest-rate-idUSL8N2BC7KO)",,,,,1024,4,52,"	"
Dominican Republic,DOM,20200319,1,1,,1,1,,1,1,,0,0,,,,,,,,,,,,,,,,,,11,0,29,"	"
Algeria,DZA,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,5,,"	"
Ecuador,ECU,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,2,,"	"
Egypt,EGY,20200319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,4,,"	"
Spain,ESP,20200319,2,1,,1,0,,2,1,,1,1,,1,1,,2,1,,3,https://www.lamoncloa.gob.es/lang/en/gobierno/news/paginas/2020/20200319canary-islands.aspx,0,,0,,0,,0,,11178,491,86,"	"
